"id","title","venue","year","doi_or_url","category","measured_object","granularity","evidence_type","optimization_knob","primary_metric","reported_result_or_scope","limitation","relation_to_ours"
"L01","Orca: A Distributed Serving System for Transformer-Based Generative Models","OSDI","2022","https://www.usenix.org/conference/osdi22/presentation/yu","serving-scheduling","request and iteration","request/iteration","real-system evaluation","iteration-level scheduling","throughput and latency","Introduces iteration-level scheduling for generative serving","Does not expose collective-to-flow network causality","Serving baseline; supplies request/iteration semantics"
"L02","Efficient Memory Management for Large Language Model Serving with PagedAttention","SOSP","2023","https://doi.org/10.1145/3600006.3613165","serving-memory","KV cache and request","request/block","real-system evaluation","PagedAttention and continuous batching","throughput and latency","Reports 2-4x throughput improvement","Network is not the main modeled object","Request/KV baseline above our communication layer"
"L03","DistServe: Disaggregating Prefill and Decoding for Goodput-optimized Large Language Model Serving","OSDI","2024","https://www.usenix.org/conference/osdi24/presentation/zhong-yinmin","serving-disaggregation","prefill/decode request stages","request/stage","real-cluster evaluation","prefill-decode disaggregation and placement","SLO goodput","Reports up to 7.4x more requests or 12.6x tighter SLO","Does not attribute tail to per-collective queue events","Target consumer of risk-aware network estimates"
"L04","Taming Throughput-Latency Tradeoff in LLM Inference with Sarathi-Serve","OSDI","2024","https://www.usenix.org/conference/osdi24/presentation/agrawal","serving-scheduling","prefill/decode batches","request/iteration","real-system evaluation","chunked prefill","serving capacity","Reports up to 2.6x/3.7x/5.6x capacity in evaluated settings","No per-flow network profile","Scheduling baseline for compute/communication overlap"
"L05","Llumnix: Dynamic Scheduling for Large Language Model Serving","OSDI","2024","https://www.usenix.org/conference/osdi24/presentation/sun-biao","serving-scheduling","request and replica state","request/replica","real-system evaluation","live migration and rescheduling","tail latency and cost","Reports order-of-magnitude tail reduction and up to 36% cost saving","Migration traffic is not modeled at packet granularity","Shows why tail attribution must feed runtime control"
"L06","Parrot: Efficient Serving of LLM-based Applications with Semantic Variable","OSDI","2024","https://www.usenix.org/conference/osdi24/presentation/lin-chaofan","serving-scheduling","application dataflow","semantic-variable/request","real-system evaluation","semantic-variable scheduling","latency and throughput","Uses application semantics to coordinate LLM calls","Does not model MoE EP collective internals","Precedent for preserving semantics through lower layers"
"L07","Splitwise: Efficient Generative LLM Inference Using Phase Splitting","ISCA","2024","https://doi.org/10.1109/isca59077.2024.00019","serving-disaggregation","prefill/decode phase","request/phase","real-system evaluation","phase splitting and hardware specialization","cost/performance and latency","Disaggregates prompt and token generation","KV/activation transfer tail is aggregated","Disaggregated-inference comparison point"
"L08","Mooncake: Trading More Storage for Less Computation — A KVCache-centric Architecture for Serving LLM Chatbot","FAST","2025","https://www.usenix.org/conference/fast25/presentation/qin","serving-kv","KV cache and requests","request/cache-object","production trace and system evaluation","KVCache-centric disaggregation","serving capacity","Reports 59%-498% capacity improvement on evaluated traces","Focuses KV movement rather than EP collective attribution","Trace realism and KV-network comparison"
"L09","BurstGPT: A Real-World Workload Dataset to Optimize LLM Serving Systems","SIGMETRICS","2025","https://doi.org/10.1145/3711896.3737413","workload-measurement","production request arrivals and lengths","request/time series","production trace","trace-driven workload generation","arrival burstiness and request lengths","Publishes a real-world LLM serving workload dataset","Does not include GPU collective or NIC flow truth","Request-level workload source for end-to-end experiments"
"L10","CacheGen: KV Cache Compression and Streaming for Fast Large Language Model Serving","SIGCOMM","2024","https://doi.org/10.1145/3651890.3672274","serving-kv-network","KV cache transfer","chunk/stream","real-system evaluation","context-aware KV compression and streaming","size and fetch latency","Reports 3.5-4.3x smaller KV and 3.2-3.7x lower fetch-processing latency","Not an EP All-to-All study","Compression/control baseline for network-budget work"
"L11","HACK: Homomorphic Acceleration via Compression of the Key-Value Cache for Disaggregated LLM Inference","SIGCOMM","2025","https://doi.org/10.1145/3718958.3750481","serving-kv-network","KV transfer and computation","request/chunk","real-system evaluation","homomorphic KV compression","job completion time","Reports up to 70.9% JCT reduction over baseline and 52.3% over a quantization design","Optimizes KV path, not collective tail causality","Avoids claiming generic compression as novel"
